Tenure Months,Total Charges,Senior Citizen,Partner,Dependents,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Internet Service,Churn Value
65,4247,0,0,0,1,0,1,1,1,1,1,1,2,1,0
42,2842,0,1,0,1,1,0,1,1,1,1,0,3,0,0
67,4555,0,0,0,1,1,1,1,1,1,0,1,3,1,0
36,2486,1,0,0,0,0,0,0,0,0,2,1,1,1,1
11,1262,0,0,1,0,0,0,0,0,0,2,1,1,1,0
1,308,0,0,0,0,0,0,1,0,0,2,1,0,0,0
16,1634,0,0,0,1,1,0,1,1,1,0,0,3,0,0
3,714,0,0,0,0,0,1,1,0,1,2,1,1,1,0
55,3314,0,1,1,1,1,1,1,1,0,1,0,3,0,0
1,246,1,0,0,0,0,0,0,0,0,2,1,1,0,0
71,4512,0,1,0,1,1,0,1,1,1,1,1,3,1,0
38,2150,0,0,0,0,0,0,1,0,1,0,0,1,0,0
21,1784,0,0,0,0,1,0,0,0,0,2,1,0,1,0
7,849,0,1,1,1,1,0,0,0,0,2,0,0,0,0
24,2137,1,0,0,0,1,0,0,1,0,2,1,1,1,1
66,3846,0,1,0,0,1,0,0,1,0,0,1,2,1,0
44,3366,0,0,0,0,0,1,1,1,1,2,1,2,1,0
3,499,0,0,0,1,1,0,0,0,0,2,0,1,0,0
62,4046,0,1,0,0,0,1,0,1,1,1,0,1,1,0
8,1133,0,1,0,0,0,0,0,1,0,2,1,2,1,1
59,3691,0,1,0,1,1,0,0,0,1,2,1,3,1,0
1,457,1,0,0,0,0,0,0,0,1,2,1,1,1,1
62,3347,0,1,0,1,1,1,1,1,0,1,0,3,0,0
3,784,0,1,0,0,1,0,0,1,1,2,1,1,1,1
64,3179,0,1,0,1,1,1,0,0,0,0,0,3,0,0
4,873,0,0,0,0,1,1,0,0,1,2,0,1,1,0
67,3620,0,1,0,0,1,1,1,0,1,0,1,2,0,1
44,2798,1,1,0,1,0,1,1,0,1,1,0,3,0,0
21,2082,0,1,1,0,1,1,0,1,1,0,1,0,1,0
29,2621,1,0,0,0,1,1,0,1,1,2,1,1,1,0
4,695,1,1,0,0,0,0,0,0,0,2,1,1,1,0
5,598,1,0,0,0,0,0,0,0,0,2,0,3,0,0
9,861,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19,1712,0,0,0,0,0,0,0,0,0,2,0,3,1,0
52,3804,0,1,0,0,1,1,1,1,1,0,1,2,1,0
71,3830,0,1,0,1,1,1,1,0,1,1,0,2,0,0
6,909,1,1,0,0,0,0,0,0,0,2,1,0,1,1
31,2545,1,1,0,0,1,1,0,0,1,2,1,1,1,0
48,3570,0,1,0,1,1,1,1,0,1,1,0,3,1,0
0,118,0,1,0,0,0,0,0,0,0,2,1,0,1,1
40,1927,0,0,1,0,0,0,0,0,0,2,0,2,0,0
18,1835,0,1,1,0,0,0,1,0,1,0,1,2,1,0
68,3725,0,0,0,1,0,1,1,1,1,1,1,3,0,0
13,1374,1,0,0,1,1,0,0,0,0,2,0,1,1,0
1,386,0,0,0,0,0,0,0,0,0,2,1,3,1,0
0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1
2,486,0,0,0,1,0,0,1,0,0,2,1,0,1,0
60,4262,0,0,0,1,0,1,1,1,1,1,1,3,1,1
0,106,0,0,0,0,0,0,0,0,0,2,1,1,1,1
60,3814,0,1,0,0,1,1,1,0,1,2,0,3,1,0
51,2724,0,0,0,1,1,0,0,1,0,1,1,3,0,0
1,374,1,1,0,0,0,0,0,0,0,2,1,1,1,0
0,154,1,0,0,0,0,0,0,0,0,2,1,1,1,1
22,1841,0,1,1,0,0,1,0,0,0,2,1,3,1,0
1,361,0,0,0,0,0,0,0,0,0,2,0,3,1,1
4,776,1,0,0,0,0,1,0,1,0,2,1,0,1,1
6,777,0,0,0,0,0,0,1,1,0,2,1,0,0,1
0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,0
30,2314,0,0,0,0,1,1,1,1,1,1,0,0,0,0
71,4205,1,1,1,1,1,1,1,1,1,1,1,2,0,0
33,1959,0,0,0,1,0,1,0,0,0,0,0,0,0,0
71,3881,0,1,1,1,0,1,1,1,1,1,0,3,0,0
71,4305,0,1,0,1,0,1,1,1,0,1,1,2,1,0
28,2508,0,0,0,0,0,1,0,1,1,2,0,2,1,0
10,1357,0,1,1,0,0,0,0,1,1,2,0,1,1,0
23,2262,0,0,0,0,0,1,0,1,1,2,1,1,1,1
69,4545,1,1,0,1,1,1,1,1,1,1,1,3,1,0
58,4001,0,1,0,1,1,1,1,0,1,0,1,3,1,0
0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0
31,2258,0,1,1,1,1,1,1,0,1,2,0,2,0,0
64,3243,0,1,0,1,1,0,0,0,1,1,1,0,0,0
42,2845,0,1,0,1,0,1,0,1,1,0,1,1,0,0
67,3022,1,1,0,0,1,1,1,0,0,0,1,2,0,0
68,4261,0,1,0,1,0,0,0,1,1,1,0,2,1,0
65,4323,1,1,0,0,1,1,1,1,1,0,1,1,1,0
13,1543,0,1,0,0,1,0,0,0,1,2,1,2,1,1
49,3119,0,0,0,1,0,1,1,1,1,0,1,3,0,0
56,3687,0,0,0,0,0,1,0,1,1,1,1,1,1,1
0,119,0,0,0,0,0,0,0,0,0,2,0,1,1,1
6,1100,0,0,0,0,0,1,1,1,1,2,1,1,1,0
17,1872,1,0,1,0,0,0,0,1,1,2,1,1,1,1
22,1562,0,0,1,0,1,0,1,0,0,2,1,2,0,0
2,564,0,1,0,0,0,0,0,0,0,2,1,1,1,1
19,1834,0,1,0,0,0,1,1,0,0,2,1,0,1,0
71,4579,0,1,0,1,1,1,1,1,1,1,1,2,1,0
0,242,1,0,0,0,0,1,0,1,0,2,1,1,1,1
5,758,0,0,0,0,0,0,0,0,0,2,1,0,1,0
10,1292,0,0,0,1,0,0,0,0,0,2,1,2,1,0
60,3351,0,1,0,1,0,1,1,0,1,1,0,3,0,0
22,2227,0,0,0,0,0,0,0,1,1,2,1,1,1,0
71,4521,0,1,0,1,1,1,0,1,1,1,1,1,1,0
70,4028,0,1,1,1,1,1,1,1,1,1,1,3,0,0
8,1164,0,0,0,0,0,0,0,1,1,2,1,0,1,0
69,4357,1,1,0,0,1,0,1,1,1,0,1,2,1,0
14,1130,0,0,0,0,0,0,0,0,0,2,1,1,0,0
1,438,0,0,0,0,0,0,0,0,1,2,0,1,1,1
14,1072,0,0,0,0,0,0,0,0,0,2,1,1,0,1
21,1839,1,0,0,0,0,0,0,0,0,2,1,2,1,1
66,4080,0,1,1,0,1,0,0,0,1,2,1,2,1,0
40,2513,0,0,1,1,1,1,0,1,0,0,0,0,0,0
18,1414,0,0,0,0,0,0,0,0,1,2,1,1,0,0
69,4253,0,1,0,0,1,1,1,0,1,1,1,2,1,0
27,2381,0,0,0,0,1,0,0,0,1,2,1,1,1,1
66,4206,0,1,1,0,0,1,1,1,1,1,1,2,1,0
2,394,0,0,0,0,0,1,0,1,0,2,0,1,0,0
27,2217,0,1,1,1,0,0,0,0,1,0,1,2,1,0
0,6,0,0,0,0,0,0,0,0,0,2,1,1,0,1
37,2876,1,0,0,0,0,0,0,1,1,2,0,1,1,0
0,98,0,0,0,1,1,0,0,0,0,2,0,1,0,0
0,225,0,0,0,0,0,0,0,1,0,2,1,0,1,1
46,3546,0,1,0,0,0,1,1,1,1,2,1,2,1,1
6,998,1,0,0,0,0,1,0,1,0,2,1,1,1,0
26,2463,0,1,1,1,1,0,1,1,0,2,0,1,1,0
53,3424,0,0,0,0,0,1,0,0,1,2,0,3,1,0
48,3164,1,0,0,0,1,1,0,0,1,0,1,2,1,0
1,300,0,0,0,1,0,1,0,0,0,2,1,0,0,1
0,55,0,0,0,0,0,0,1,0,0,2,1,1,0,0
29,2391,0,0,0,0,0,0,1,1,1,0,1,2,1,0
16,1745,0,1,0,1,0,1,0,1,0,2,1,1,1,1
23,1915,0,1,1,1,0,0,0,1,1,0,0,0,0,0
12,1250,0,1,1,0,0,0,0,1,1,0,1,1,0,0
14,1684,0,0,0,0,0,0,0,1,1,2,1,1,1,1
31,2031,0,0,0,0,0,0,0,1,1,0,1,2,0,0
13,1061,0,1,0,0,0,1,0,0,0,2,0,3,0,0
60,4081,0,1,0,1,1,0,0,1,1,2,1,1,1,0
5,823,0,0,0,0,0,0,0,1,1,2,1,1,1,1
11,1396,0,0,0,0,0,0,0,0,1,2,1,1,1,0
23,2278,0,1,0,0,1,1,0,1,1,2,1,3,1,1
60,3605,0,1,1,1,1,1,1,1,1,0,0,2,0,0
0,93,0,0,1,0,0,0,1,0,1,2,1,0,0,0
55,3610,0,1,0,1,0,0,0,1,1,0,1,1,1,0
0,151,1,0,0,0,0,0,0,0,0,2,1,1,1,1
36,2793,0,0,0,0,0,0,1,1,1,2,0,2,1,1
71,4617,0,1,1,1,1,1,1,1,1,1,1,2,1,0
17,1868,0,1,0,0,0,1,0,1,1,2,1,3,1,0
8,1022,1,0,0,0,0,1,0,0,0,2,0,3,1,0
16,1728,0,1,0,0,0,0,0,1,1,2,1,1,1,1
3,413,0,1,1,0,0,0,0,0,0,2,0,1,0,0
52,3194,0,0,0,0,1,0,1,0,0,2,1,0,1,0
42,2750,0,1,0,0,1,0,0,0,0,2,0,1,1,0
39,2565,0,1,1,0,0,1,0,1,1,2,1,1,0,0
56,3821,1,1,0,0,0,1,0,1,1,2,0,1,1,1
33,2516,0,0,0,0,0,0,0,1,0,2,0,1,1,0
15,1208,0,0,0,0,1,0,1,0,0,2,1,0,0,1
0,160,0,1,0,0,0,0,0,0,0,2,1,1,1,1
44,2741,0,1,1,1,1,0,1,1,0,1,0,3,0,0
3,592,0,0,1,0,0,0,0,0,0,2,1,2,1,1
14,1722,0,0,0,0,0,1,0,1,1,2,1,3,1,0
46,2942,1,1,0,1,0,0,0,0,0,2,0,1,1,1
8,1140,1,0,0,0,0,0,0,0,1,2,1,1,1,1
36,2714,0,1,1,0,0,0,0,1,1,2,1,1,1,0
40,3260,0,0,1,1,1,1,1,1,1,1,1,1,1,0
14,1422,0,1,0,0,0,0,0,0,0,2,1,2,1,1
1,421,0,0,0,0,0,0,0,1,0,2,1,1,1,0
6,990,0,0,0,0,0,0,0,0,1,2,1,0,1,1
20,1942,0,0,0,0,1,1,0,0,1,2,1,1,1,0
8,1057,0,0,0,0,0,0,0,0,0,2,1,1,1,0
13,1549,1,0,0,0,0,0,0,1,1,2,0,3,1,1
65,3564,1,1,0,1,1,1,1,1,0,1,0,3,0,1
60,3449,1,1,0,0,1,0,0,0,0,2,1,1,1,0
31,2411,1,1,0,0,0,0,0,0,1,2,0,1,1,1
1,427,0,0,0,0,0,1,0,0,1,2,1,0,1,1
32,2785,0,1,0,1,0,1,0,1,1,0,1,0,1,1
42,3128,0,1,1,0,0,1,0,1,1,2,1,2,1,0
13,1607,1,1,1,0,0,0,0,1,1,2,1,1,1,0
34,2736,1,1,0,1,1,0,0,0,1,2,1,1,1,0
1,288,0,0,0,0,1,0,0,0,0,2,0,0,0,0
2,425,0,0,1,1,0,0,1,0,1,2,1,2,0,0
66,4078,0,1,0,0,1,1,0,0,1,1,1,1,1,0
15,1776,1,1,0,0,0,1,0,1,1,2,1,1,1,1
59,3473,0,1,0,0,1,1,1,1,1,1,1,2,0,0
22,2134,0,0,0,0,1,0,0,1,1,2,0,0,1,0
32,2261,0,0,0,0,0,0,0,0,0,2,1,2,1,0
44,2701,0,0,0,1,0,1,0,1,1,2,1,1,0,0
21,2125,0,1,0,1,1,0,1,1,1,2,1,1,1,0
62,3496,0,0,0,1,1,1,1,0,1,1,1,3,0,0
0,155,0,0,0,0,0,0,0,0,0,2,1,0,1,1
63,2914,0,1,0,0,0,1,1,0,0,0,0,2,0,0
17,1655,1,0,0,0,1,0,0,0,0,2,1,3,1,0
36,2193,0,1,0,1,0,1,1,0,0,1,1,3,0,0
47,2922,0,0,0,0,1,0,0,0,0,0,0,1,1,0
6,911,0,1,0,0,0,0,0,0,0,2,1,2,1,1
23,1981,0,1,0,0,0,1,0,0,0,2,1,0,1,0
71,4581,0,0,0,1,1,1,1,1,1,1,1,3,1,0
70,4158,1,1,0,1,1,1,1,0,0,0,1,1,1,0
62,4295,1,1,0,1,1,1,0,1,1,1,0,3,1,0
12,1330,0,0,0,0,1,1,0,0,0,2,1,1,1,1
10,995,0,0,0,0,0,1,0,0,0,2,0,1,0,1
31,2767,0,0,0,1,1,0,1,1,1,2,1,3,1,1
4,704,1,0,0,0,0,1,0,0,0,2,1,3,1,1
21,1973,0,1,0,0,0,1,0,1,1,2,1,3,1,1
63,4395,0,0,0,1,1,1,1,1,1,1,1,2,1,0
22,1664,0,1,1,1,0,0,1,0,0,0,0,3,0,0
17,1577,0,0,0,1,0,1,1,1,0,2,1,1,0,0
11,1240,0,1,0,1,0,0,1,0,0,2,0,2,1,1
0,67,0,0,0,0,0,0,1,0,0,2,1,1,0,1
0,237,1,1,0,0,0,0,0,1,0,2,1,1,1,1
10,1255,0,0,0,0,0,0,0,0,0,2,0,1,1,0
68,4503,0,1,0,1,1,1,1,1,1,1,1,2,1,0
25,2223,0,0,0,0,1,1,0,1,0,2,0,1,1,1
4,788,0,0,0,0,1,1,0,0,0,2,1,1,1,1
26,1695,0,0,0,1,0,0,1,0,0,2,0,0,0,0
0,184,0,0,0,0,0,0,0,0,1,2,0,1,1,1
3,605,0,1,1,0,0,0,0,0,0,2,1,0,1,0
0,126,0,0,0,0,0,0,0,0,0,2,1,1,1,1
23,2049,0,1,1,0,1,1,0,0,0,0,0,2,1,0
22,1434,0,0,1,0,0,0,1,0,0,0,1,1,0,0
59,3757,0,1,0,1,0,0,1,1,1,1,1,1,1,0
48,2788,0,1,0,1,1,1,0,0,1,0,0,1,0,0
60,4139,0,0,0,1,1,1,0,1,1,0,1,1,1,0
35,2600,0,0,0,0,0,1,1,0,1,2,1,1,1,1
24,2133,1,1,0,0,1,1,0,0,1,2,0,2,1,0
21,1935,0,0,0,0,1,0,0,0,1,2,1,0,1,1
62,3482,0,1,0,0,0,0,1,0,0,0,1,3,1,0
21,2166,0,1,0,1,0,0,1,1,0,2,0,3,1,0
21,1970,1,0,0,0,0,0,1,1,0,2,1,2,1,1
8,1053,0,0,0,1,0,0,0,0,0,2,0,1,1,0
35,2316,0,0,0,0,1,0,1,0,1,0,1,0,0,1
48,3266,1,0,0,0,0,1,0,0,1,2,1,3,1,1
2,586,0,0,0,0,1,1,0,0,1,2,0,1,1,0
63,4266,0,0,0,0,0,1,1,1,1,0,1,3,1,0
8,814,0,0,1,0,0,0,0,1,0,2,0,1,0,1
70,3945,0,0,1,1,1,0,0,0,0,0,1,3,1,0
12,1532,0,0,0,1,1,0,0,1,0,2,1,1,1,1
19,2047,0,0,0,0,0,0,1,1,1,2,1,0,1,0
43,3026,1,0,0,0,1,1,0,0,1,0,0,3,1,0
66,4378,0,1,1,1,0,1,1,1,1,0,1,1,1,0
65,4256,0,0,0,0,1,0,1,1,1,0,1,1,1,0
59,3682,0,1,0,0,1,1,0,1,0,0,0,1,1,1
12,1343,0,0,0,1,0,1,0,1,1,2,1,1,0,0
14,1746,0,1,0,0,0,1,1,1,1,2,1,1,1,0
6,705,0,1,1,0,0,0,0,0,0,2,0,1,0,0
17,1629,0,0,0,1,0,0,0,0,0,2,1,1,1,0
6,1051,0,0,0,0,0,1,0,1,1,2,1,1,1,1
71,4166,0,1,1,1,1,1,1,1,1,1,0,3,0,0
68,3514,1,0,0,1,0,1,1,0,1,1,0,3,0,0
48,2885,0,0,0,0,0,0,0,0,0,2,0,3,1,1
69,3814,0,1,0,1,1,1,1,1,0,1,1,2,0,0
20,1936,1,1,0,0,0,1,0,1,0,2,0,2,1,0
39,2061,0,1,0,0,1,0,0,0,0,2,1,0,0,0
3,722,0,1,0,0,1,0,0,1,0,2,1,1,1,1
70,4089,0,1,0,1,1,1,1,1,1,1,0,3,0,0
64,3984,1,1,0,1,1,1,0,0,1,2,0,1,1,0
1,313,0,1,0,0,0,0,0,0,0,2,1,1,1,0
37,2602,0,1,0,1,0,1,1,1,1,1,0,3,0,0
65,4408,0,0,0,1,1,1,1,1,1,0,1,2,1,0
64,4314,1,1,1,0,1,1,0,1,1,0,1,1,1,0
59,3817,0,1,0,0,1,1,0,1,0,2,1,1,1,1
69,3412,0,1,1,1,0,1,0,1,0,1,0,3,0,0
64,4175,0,0,0,0,1,1,0,1,1,1,0,3,1,0
18,1699,0,1,0,0,0,0,0,0,1,2,1,1,1,1
0,185,0,1,0,0,0,0,0,1,0,2,0,1,1,1
5,623,0,1,1,0,0,0,1,0,0,2,1,0,0,0
0,112,0,0,0,0,0,0,0,0,0,2,1,1,1,1
21,1895,0,1,1,0,0,0,0,0,1,2,1,1,1,0
50,3106,1,1,0,0,1,1,0,0,0,2,1,1,1,1
9,952,0,0,0,1,0,0,0,0,0,2,1,3,0,0
0,254,0,0,0,0,0,0,0,1,1,2,0,1,1,1
33,2667,0,1,0,0,0,0,0,1,1,2,1,1,1,1
18,1377,0,0,0,0,0,1,1,0,0,2,1,3,0,1
39,2668,0,0,0,0,0,1,1,1,1,0,1,0,0,0
55,3780,0,1,0,0,0,1,1,1,1,2,1,1,1,0
0,175,0,0,0,0,0,0,1,0,0,2,1,1,1,1
29,2543,1,0,0,0,1,0,0,1,1,2,1,1,1,1
35,2709,1,1,0,0,1,0,0,1,0,2,1,3,1,0
7,1010,0,0,0,0,0,0,0,1,0,2,1,2,1,0
2,319,1,0,0,0,0,0,0,0,0,2,0,1,0,1
69,4532,0,1,0,1,1,1,0,1,1,0,1,3,1,0
30,2110,0,0,0,1,1,1,1,1,0,2,1,2,0,0
49,3176,0,0,0,0,0,1,1,0,1,1,1,2,1,0
45,2645,0,1,0,0,1,0,0,1,1,2,1,3,0,0
0,36,1,1,0,0,0,0,0,0,0,2,0,1,0,1
53,3773,0,1,1,1,1,0,0,1,1,2,1,2,1,0
71,4624,0,1,1,1,1,1,1,1,1,1,0,3,1,0
44,2344,0,1,1,1,0,0,1,0,0,1,0,2,0,0
52,2804,0,1,1,1,1,0,1,0,0,0,0,2,0,0
70,4381,0,1,1,1,1,1,0,1,1,0,1,2,1,0
2,524,0,1,1,0,1,1,0,1,0,2,1,2,0,0
1,208,0,1,0,0,0,0,0,0,0,2,1,3,0,1
42,3082,0,1,0,1,1,0,0,0,1,2,1,1,1,0
71,4105,1,1,0,1,1,1,1,1,1,1,1,3,0,0
40,2485,0,1,0,0,1,1,0,1,0,0,0,2,0,0
41,3299,0,1,0,0,0,1,1,1,1,0,1,1,1,0
70,3935,0,1,0,1,0,1,1,1,1,1,1,3,0,0
44,2821,0,1,0,1,0,1,1,1,1,1,1,0,0,0
2,560,0,1,0,0,0,0,1,0,0,2,1,2,1,1
4,824,0,0,0,0,1,0,0,1,0,2,1,1,1,1
29,2336,0,1,1,0,0,1,0,0,1,0,0,1,1,0
40,3097,1,0,0,0,1,1,0,1,1,2,1,1,1,0
1,250,0,1,0,0,0,0,0,0,0,2,1,1,0,0
12,1616,0,0,0,1,0,0,0,1,1,2,1,1,1,1
6,1043,0,0,1,0,0,0,0,1,1,2,0,0,1,1
53,3831,0,1,0,1,1,0,0,1,1,0,0,2,1,1
17,1533,0,0,0,0,0,0,0,0,0,2,1,1,1,0
6,662,0,0,0,0,0,0,0,0,0,2,1,2,0,0
67,3822,0,1,1,0,1,1,0,0,0,1,1,3,1,0
64,3904,0,1,0,0,1,0,0,1,0,2,1,2,1,1
66,4311,0,0,1,0,1,0,1,1,1,1,1,1,1,0
13,1658,0,0,0,0,1,0,0,1,1,2,1,1,1,1
42,2519,0,1,0,1,1,0,1,0,0,2,0,2,0,0
56,3898,0,1,0,1,1,1,1,1,0,2,1,1,1,0
71,4554,0,1,1,1,1,1,1,1,1,1,0,2,1,0
30,2534,0,1,0,0,0,1,0,1,1,0,1,1,1,0
8,1035,0,0,0,0,0,0,0,0,0,2,0,1,1,0
40,3130,0,1,0,0,0,1,1,1,1,0,1,1,1,1
58,4031,0,1,0,1,1,1,1,1,0,2,1,1,1,1
6,1030,1,1,0,0,0,0,0,0,1,2,1,1,1,1
52,3525,0,1,0,0,1,0,1,0,1,0,0,2,1,0
9,906,0,0,0,1,0,0,0,0,0,2,1,0,0,0
16,1523,1,1,0,0,1,0,0,0,0,2,1,1,1,1
4,750,0,0,0,0,0,1,1,1,1,2,0,2,0,0
2,637,0,0,0,0,1,0,0,1,1,2,1,1,1,1
71,4054,0,0,0,1,1,0,1,1,1,1,0,3,0,0
20,1334,0,0,1,0,0,0,0,0,0,2,0,0,0,0
14,1720,0,1,0,0,0,1,0,1,1,2,1,1,1,1
71,4079,0,1,0,1,1,1,1,1,1,1,1,3,0,0
67,4047,0,1,0,0,1,1,1,0,0,1,0,3,1,0
26,1949,0,1,0,1,1,1,1,0,0,0,0,0,0,0
13,1183,0,1,1,1,1,0,0,0,1,1,1,2,0,0
10,1155,1,1,1,0,0,0,0,0,0,2,1,3,1,0
28,1901,0,0,0,1,1,0,1,0,0,2,0,0,0,0
43,3200,0,1,0,0,0,0,0,1,1,2,1,1,1,1
71,4448,1,1,0,1,1,1,0,0,1,1,1,3,1,0
3,429,0,1,0,0,0,0,1,0,0,2,0,0,0,1
43,3068,0,0,0,0,0,1,0,0,1,2,1,0,1,0
8,1065,0,0,0,0,0,0,0,0,0,2,0,1,1,1
37,2853,0,0,0,0,0,1,1,1,0,0,0,2,1,0
2,478,0,0,0,0,0,0,0,0,0,2,1,0,1,0
64,4279,0,1,0,1,0,1,1,1,1,1,0,2,1,1
61,3843,0,1,1,1,1,0,0,1,0,0,1,3,1,0
6,973,0,1,0,0,0,0,0,1,0,2,1,1,1,1
30,2569,0,1,0,0,1,1,0,1,0,2,0,1,1,1
12,1280,1,1,0,0,0,0,0,0,0,2,1,1,1,1
49,3592,0,1,0,1,0,1,0,1,1,0,1,1,1,0
36,2286,0,0,0,1,1,1,1,0,0,0,0,1,0,0
0,179,1,1,0,0,1,0,0,0,0,2,1,0,1,1
1,456,0,1,0,1,0,0,1,0,0,2,1,1,1,0
2,506,1,1,0,0,0,0,0,1,0,2,1,1,1,1
24,1873,1,1,0,1,0,0,1,1,0,2,1,3,0,0
1,301,0,1,1,1,0,0,0,0,0,2,0,0,0,1
8,1096,0,0,0,0,0,0,0,0,1,2,1,1,1,1
29,2475,0,0,0,1,1,1,0,0,0,0,0,2,1,0
60,3939,0,1,0,0,1,0,0,1,1,2,1,1,1,1
19,1947,0,0,0,1,0,1,0,1,0,2,1,2,1,0
8,1237,0,1,0,1,1,1,0,0,0,2,0,2,1,1
10,971,1,0,0,1,0,0,0,0,0,2,1,1,0,0
65,3936,0,0,0,0,1,0,0,1,0,0,1,2,1,0
52,3840,0,0,0,1,0,1,0,1,1,0,1,3,1,1
51,3649,1,1,0,0,1,1,0,1,1,0,1,2,1,0
30,2420,0,1,0,0,0,1,0,1,0,2,0,3,1,0
31,2720,0,0,0,0,0,1,0,1,1,2,1,1,1,0
55,3690,1,1,0,1,1,1,1,0,0,0,0,1,1,0
70,4379,0,0,0,1,1,1,0,1,1,1,1,3,1,0
3,556,0,0,0,0,0,0,1,1,0,2,1,1,0,0
36,2207,0,0,1,1,1,0,1,0,0,1,0,3,0,0
6,983,0,0,0,0,0,1,0,1,0,2,1,1,1,1
4,631,1,1,0,0,0,0,0,0,0,2,0,1,1,0
