decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,sex,tier,race,pass_bar
5,5,103,17,285,294,0,3,1,2,1,1
6,7,58,17,331,366,0,3,1,2,1,1
8,8,78,17,398,399,0,1,1,1,1,1
7,8,103,19,363,397,0,2,1,3,1,1
9,8,103,25,427,414,0,2,1,3,1,1
8,8,101,14,383,388,0,2,0,4,1,1
6,8,101,24,338,416,0,3,1,5,1,1
1,1,94,19,188,195,0,3,1,3,1,1
7,7,98,18,363,370,0,2,0,3,1,1
0,0,58,20,145,141,0,2,0,2,1,1
4,6,86,19,271,319,0,3,0,5,1,1
9,9,82,24,454,483,0,1,1,4,0,1
4,4,82,20,265,286,0,2,0,3,1,1
2,2,70,14,230,227,0,2,1,2,1,1
6,6,90,20,332,338,0,2,0,2,1,1
0,0,62,16,78,89,0,0,1,5,0,1
7,8,111,21,346,393,0,0,1,4,1,1
5,4,86,14,297,278,0,3,1,3,1,1
1,2,54,10,202,214,0,3,0,2,1,0
0,0,98,19,124,143,0,1,1,5,0,1
8,8,78,20,403,390,0,3,1,2,1,1
8,7,86,14,369,354,0,4,0,2,1,1
9,9,107,23,413,442,0,2,0,4,1,1
9,8,98,21,417,383,0,2,0,2,1,1
9,9,105,21,522,571,0,1,0,5,1,1
5,5,82,17,294,300,0,3,1,3,1,1
6,6,82,24,337,322,0,1,0,5,0,1
7,6,86,23,341,337,0,2,0,3,1,1
6,7,86,22,336,367,0,2,0,3,1,1
7,6,103,24,338,339,0,2,0,2,1,1
8,9,107,21,403,449,0,2,1,5,1,1
4,6,98,22,272,332,0,3,0,3,1,0
7,7,62,20,338,362,0,2,0,1,1,1
1,4,94,15,187,283,0,2,0,3,1,1
6,6,101,23,320,333,0,3,0,3,1,1
0,2,78,19,81,216,0,2,1,4,1,1
4,5,103,17,267,292,0,3,1,2,1,1
1,1,90,7,183,201,0,3,1,2,1,1
9,8,96,14,416,405,0,3,1,3,1,1
9,9,50,16,500,510,0,2,0,0,0,1
2,1,86,16,205,182,0,3,0,3,1,1
1,0,86,10,200,137,0,4,1,2,1,0
6,4,112,23,327,288,0,3,1,5,1,1
6,7,82,18,330,350,0,3,1,2,1,1
6,6,103,23,331,330,0,1,1,4,1,1
5,5,109,21,302,311,0,3,0,5,1,1
1,1,98,10,184,188,0,2,1,2,1,1
2,0,90,14,219,105,0,2,1,3,0,0
3,4,107,23,238,274,0,4,1,5,1,1
0,0,74,15,150,144,0,2,0,1,1,0
7,8,86,25,356,380,0,2,0,3,1,1
2,3,112,20,217,255,0,3,1,5,1,1
4,5,61,4,275,295,0,3,1,0,0,0
3,1,99,16,234,200,0,3,0,4,1,1
5,3,101,24,296,246,0,2,1,3,1,1
6,4,98,20,330,281,0,3,0,2,1,1
9,8,101,19,434,393,0,2,0,3,1,1
0,0,42,15,120,134,0,4,0,3,0,0
0,0,64,18,115,126,1,3,0,2,1,1
3,0,94,21,246,115,0,2,0,3,1,0
6,6,58,20,307,315,0,2,0,1,1,0
9,9,74,20,452,585,0,2,1,2,1,1
6,8,107,22,332,394,0,3,0,4,1,1
1,4,94,20,196,285,0,2,1,3,1,1
8,6,113,20,403,329,0,2,1,5,1,1
4,4,103,18,266,270,0,2,0,3,0,1
8,8,68,13,371,404,0,2,1,1,1,1
5,5,112,19,309,319,0,3,1,3,1,1
6,9,107,24,321,423,0,2,1,4,1,1
1,2,74,10,178,201,0,4,1,1,1,1
1,1,58,17,174,193,0,2,0,3,1,1
5,3,86,20,300,239,0,0,1,3,1,1
2,5,74,15,230,293,0,1,0,2,0,1
0,0,62,15,131,158,1,1,1,2,0,0
9,9,90,17,426,462,1,1,0,2,1,1
2,0,74,15,227,151,0,3,0,2,1,0
5,3,101,21,293,257,0,3,1,4,0,1
2,1,84,18,225,207,0,3,0,5,1,1
0,1,112,19,148,186,0,2,0,5,1,1
5,6,94,20,296,337,0,1,0,3,1,1
6,4,101,14,333,289,0,3,1,2,1,1
6,7,98,14,328,354,0,2,0,2,1,1
7,6,90,24,353,338,0,3,0,3,1,1
4,5,82,12,288,293,0,3,0,0,0,1
2,3,90,18,223,248,0,2,1,3,1,1
7,6,111,19,350,320,0,4,1,4,1,1
4,4,82,10,280,277,0,3,1,2,1,1
8,8,60,16,373,383,0,3,1,2,1,1
2,5,94,19,209,292,0,2,0,2,0,1
7,6,74,17,352,339,0,2,1,2,1,1
9,9,101,23,437,441,0,2,0,3,1,1
1,4,105,21,178,282,0,3,0,4,1,1
0,2,70,16,146,208,0,1,1,3,0,1
8,9,94,18,383,424,0,3,1,3,1,1
2,2,74,11,207,225,0,3,0,1,1,1
0,3,50,16,150,239,0,0,0,1,0,1
6,6,111,24,320,325,0,3,0,4,1,1
4,4,86,19,267,278,0,2,0,2,1,1
0,1,46,8,151,165,0,2,1,2,0,1
5,6,78,22,294,346,0,4,1,5,1,1
0,0,78,15,154,151,0,3,0,4,0,0
6,5,78,17,312,318,0,3,1,4,1,1
4,2,44,13,265,225,0,4,0,2,1,1
3,2,98,14,236,212,0,3,1,3,1,1
8,8,94,18,393,417,0,3,0,2,1,1
0,0,50,16,95,65,1,2,1,3,1,0
0,0,28,14,149,148,0,2,1,0,0,1
6,1,74,18,310,191,0,3,1,4,0,0
6,3,94,24,331,243,0,2,1,3,1,1
8,6,107,23,366,321,0,3,1,4,1,1
2,2,70,20,229,216,0,2,0,2,1,1
0,0,90,13,93,159,0,1,0,4,0,1
7,8,94,21,352,383,0,2,1,4,1,1
9,9,113,17,432,459,0,3,0,2,1,1
3,1,90,13,237,181,0,2,1,3,1,0
3,3,111,15,256,246,0,3,1,5,1,1
5,4,98,16,296,281,0,2,0,3,1,1
9,9,94,18,418,489,0,4,0,4,1,1
7,7,101,21,356,369,0,3,0,3,1,1
2,4,105,24,220,288,0,1,0,4,1,1
5,5,82,18,306,295,0,2,1,3,1,1
6,5,70,13,321,295,1,4,0,2,1,1
8,6,62,13,387,339,0,2,1,1,1,1
5,7,109,20,300,354,0,3,1,3,1,1
7,8,105,21,370,379,0,4,1,5,1,1
7,8,101,22,367,402,0,3,1,5,1,1
3,3,101,21,234,253,0,2,0,4,1,1
5,5,112,23,286,314,0,3,1,4,1,1
3,4,54,15,249,286,0,3,1,1,0,0
7,7,86,21,358,366,0,2,1,3,1,1
9,9,74,12,436,529,0,1,0,0,1,1
3,5,103,22,242,303,0,3,1,5,1,1
5,2,86,21,306,229,0,3,1,3,0,1
8,5,94,19,377,311,0,3,0,3,1,0
0,0,62,10,127,81,1,1,0,2,0,0
7,7,90,17,343,351,0,3,1,3,1,1
9,8,82,20,431,414,0,3,0,2,1,1
0,0,66,17,129,127,0,3,0,2,1,0
3,2,76,15,257,229,0,2,0,2,1,1
8,7,74,15,405,368,0,3,1,2,1,1
9,9,107,20,541,465,0,3,1,4,1,1
0,1,58,17,139,160,0,2,0,3,1,0
0,0,60,20,78,75,0,3,1,2,1,1
6,8,109,8,336,384,1,2,1,3,1,1
8,8,103,22,387,385,0,2,1,5,1,1
0,3,90,14,126,261,0,3,0,2,1,1
9,9,94,25,436,447,0,1,1,3,1,1
9,9,98,20,494,519,0,2,1,3,1,1
9,9,78,25,467,466,0,3,0,4,1,1
6,8,113,20,317,379,0,3,0,4,1,1
4,4,78,18,278,277,1,3,0,4,0,1
6,4,101,21,310,274,0,2,1,4,1,1
8,9,103,16,395,466,0,3,1,2,1,1
4,8,60,12,260,414,1,2,1,4,1,1
3,3,82,17,256,252,0,3,1,4,1,1
2,2,86,18,221,228,0,3,1,3,1,1
9,8,82,21,424,411,0,3,0,5,1,1
4,5,101,23,269,297,0,0,0,3,1,1
6,8,98,21,318,416,1,2,1,3,1,1
1,4,74,17,185,266,0,3,0,2,1,1
0,0,62,11,151,105,0,4,1,4,0,0
4,2,94,17,285,233,0,2,1,3,1,1
5,5,94,17,304,320,0,1,0,3,1,1
7,8,54,18,335,389,0,2,1,2,1,1
9,9,101,25,479,495,0,3,1,3,1,1
6,5,78,15,315,314,1,3,0,3,1,1
5,4,98,18,290,280,0,2,0,5,1,1
5,2,86,18,288,227,0,2,0,2,1,1
3,4,103,15,237,280,0,3,1,3,1,1
7,7,90,25,338,374,0,3,0,4,1,1
5,4,86,14,294,263,0,4,1,0,1,1
9,9,86,23,437,451,0,3,0,3,1,1
2,3,54,16,219,237,0,2,1,1,1,0
0,2,58,12,48,213,0,2,0,3,0,0
2,3,86,17,230,262,0,4,0,5,0,1
3,3,101,13,235,239,0,3,0,2,1,1
8,7,82,11,403,356,0,2,1,2,1,1
9,9,98,21,458,515,0,3,0,4,1,1
3,0,112,15,234,162,0,3,1,4,1,1
9,7,107,9,442,356,0,3,1,5,1,1
9,9,82,24,467,501,0,2,0,4,1,1
8,8,66,22,383,387,1,1,0,3,1,1
2,3,70,16,231,243,0,3,0,4,1,1
7,7,86,16,339,348,0,2,0,2,1,1
5,6,107,24,296,321,0,2,1,3,1,1
7,7,90,22,358,363,0,2,0,2,1,1
5,4,94,20,287,286,0,2,0,4,1,1
6,2,79,11,324,212,0,3,1,2,1,1
1,0,103,19,187,146,0,2,1,5,1,1
9,9,94,14,478,479,0,2,1,4,1,1
1,1,86,16,166,189,0,3,1,2,1,1
3,1,70,10,245,165,0,3,1,2,1,1
0,0,70,10,137,129,0,3,1,2,1,1
6,6,101,15,326,330,0,3,0,4,1,1
9,9,105,19,505,481,0,2,0,3,1,1
7,8,90,21,358,391,0,3,0,2,0,1
5,4,101,16,293,290,0,2,0,3,1,1
2,2,70,19,224,204,1,2,1,3,1,1
0,1,86,14,132,181,0,3,0,3,0,1
8,9,78,23,391,436,0,3,1,3,1,1
9,9,99,17,486,528,0,3,1,2,1,1
8,8,113,17,383,391,0,1,0,3,1,1
2,1,66,14,209,204,0,1,0,4,0,1
6,5,78,15,322,301,0,2,1,2,1,1
8,8,109,16,401,379,0,3,1,4,1,1
8,7,101,15,378,358,0,2,0,2,1,1
5,5,94,18,289,308,0,3,1,3,1,1
1,2,98,22,202,219,0,2,0,2,1,0
3,2,80,16,240,216,0,3,1,1,1,1
0,0,101,21,91,116,0,4,1,5,1,1
3,5,82,18,260,311,0,3,1,2,1,1
5,5,74,13,287,305,0,2,1,2,1,1
4,4,90,15,275,269,0,3,1,2,1,1
0,0,74,12,106,138,0,3,1,2,1,0
8,7,36,22,373,348,0,0,0,2,1,1
5,8,62,16,284,390,0,4,1,1,1,1
4,4,60,11,267,265,0,3,1,1,1,1
1,1,70,15,174,177,1,2,0,2,1,1
0,1,90,16,120,172,0,3,1,3,1,1
6,2,101,13,312,240,1,2,1,4,1,1
2,2,82,17,210,210,0,3,0,2,1,1
4,3,38,18,268,268,0,1,0,4,0,0
8,9,62,20,398,441,1,2,0,2,1,1
2,2,98,18,228,236,0,4,1,2,1,1
2,3,94,21,216,246,0,2,1,3,1,1
5,4,62,12,289,280,0,2,1,4,1,1
0,1,62,21,145,170,0,2,0,1,1,0
6,7,72,20,332,355,0,3,1,4,1,1
1,0,82,17,185,147,0,3,1,2,1,1
5,4,78,17,292,267,0,3,1,2,1,1
3,1,82,15,236,196,0,3,0,2,1,1
1,0,90,18,179,116,0,2,0,3,0,1
7,9,107,23,355,432,0,3,0,5,1,1
8,8,90,22,400,423,0,2,0,2,1,1
0,0,46,12,158,143,1,3,1,1,1,0
7,7,82,16,345,355,0,3,1,2,1,1
8,9,62,20,403,452,0,2,0,2,1,1
4,6,80,21,268,330,0,1,1,3,1,1
1,2,66,20,191,227,0,3,1,2,1,1
2,4,103,19,207,293,0,2,1,4,1,1
9,4,107,14,438,277,0,3,0,5,1,1
2,1,38,17,209,168,0,3,1,2,1,1
2,2,90,20,221,209,0,2,1,4,1,1
1,3,86,17,184,250,0,3,0,3,1,0
0,1,90,15,154,206,0,4,1,4,1,1
2,4,78,17,229,275,0,3,0,4,1,1
3,5,82,25,249,312,0,2,0,3,1,1
8,9,111,25,408,469,0,3,1,5,1,1
1,4,78,15,163,284,0,3,1,4,1,1
2,2,62,21,229,230,0,1,0,2,1,1
6,8,86,19,324,398,0,3,0,2,1,1
5,7,82,17,309,352,0,3,1,3,1,1
2,2,54,16,213,222,0,2,1,1,1,1
6,9,58,20,330,475,0,3,0,2,1,1
6,6,74,17,310,319,0,3,0,1,1,1
7,7,86,16,342,351,1,3,1,2,1,1
1,2,18,12,200,212,0,1,0,0,0,0
4,4,58,17,279,275,0,3,1,2,1,1
9,8,86,20,428,401,0,3,1,2,1,1
7,8,113,23,363,391,0,1,0,4,1,1
5,1,78,14,300,184,0,2,0,3,1,1
7,5,78,16,364,315,0,3,0,3,0,1
7,3,113,19,347,266,0,3,1,5,1,1
4,4,101,22,263,290,0,3,0,3,0,1
3,3,66,20,245,261,0,3,0,4,1,1
0,0,46,10,77,97,1,2,1,2,0,1
2,2,90,18,220,225,0,1,1,3,0,1
9,8,74,19,447,400,0,2,1,2,1,1
1,1,88,22,192,170,0,1,0,4,1,0
0,1,112,22,130,162,0,4,1,5,1,1
5,6,66,19,301,325,0,2,1,2,1,1
2,2,68,17,207,224,0,2,1,2,1,1
0,0,22,17,135,141,1,1,1,3,0,0
6,7,90,22,310,356,1,3,0,3,1,1
9,9,86,21,422,431,0,2,0,2,1,1
5,5,78,20,303,318,0,3,1,3,1,1
3,3,66,17,236,253,1,2,0,3,1,1
6,8,80,12,331,396,0,3,1,2,1,1
4,6,94,16,271,321,0,3,1,2,1,1
9,7,86,16,410,357,0,3,0,2,1,1
6,7,103,17,335,366,0,3,1,3,1,1
2,1,78,19,203,175,0,3,0,4,0,1
9,8,76,24,410,389,0,2,0,3,1,1
1,1,94,21,194,162,0,2,0,3,1,1
0,3,94,16,162,252,0,3,1,3,1,1
9,9,86,18,481,501,0,2,1,2,1,1
7,8,101,23,345,386,0,2,0,3,1,1
9,8,70,6,494,397,0,1,1,2,1,1
9,9,105,25,507,546,1,2,0,3,1,1
4,5,80,25,269,301,0,2,1,5,0,1
8,7,90,21,399,375,0,3,1,2,1,1
1,1,82,16,198,186,0,2,1,3,0,1
3,3,90,22,249,258,0,3,0,3,1,1
4,4,94,16,285,283,0,3,1,3,1,1
6,6,46,22,318,339,0,3,0,2,1,1
1,0,86,23,189,81,0,2,0,2,1,0
0,0,86,17,121,123,0,1,1,2,0,0
0,0,32,8,139,115,0,0,1,3,0,1
5,8,82,25,299,402,0,3,0,3,1,1
5,6,84,15,307,346,0,3,1,2,1,1
8,9,107,20,391,426,0,3,0,2,1,1
6,3,68,9,307,244,0,3,1,1,1,1
0,1,50,16,153,195,0,2,0,4,0,1
0,0,56,11,116,144,0,1,0,3,0,1
5,6,90,21,296,329,0,2,0,3,0,1
2,6,62,23,231,324,0,3,1,2,1,1
9,9,105,19,462,534,0,3,1,2,1,1
4,4,98,21,276,290,0,3,0,3,0,1
0,0,38,15,163,145,0,3,1,1,0,0
5,6,94,17,298,330,0,2,0,4,0,1
1,2,86,15,207,215,0,3,1,2,1,1
8,9,90,23,393,451,0,4,1,3,1,1
0,0,82,14,125,119,0,2,0,2,1,1
7,6,86,23,352,341,0,3,1,3,1,1
2,3,88,15,223,241,1,3,1,4,1,1
7,5,103,14,345,309,0,3,1,2,1,1
8,8,103,25,376,410,0,3,1,3,1,1
9,8,94,15,420,408,0,3,0,2,1,1
6,3,109,11,325,266,1,2,1,3,1,1
5,5,62,17,286,316,0,2,0,2,1,1
8,6,46,18,402,333,0,1,0,2,0,1
7,8,78,19,356,394,0,3,0,3,1,1
6,6,78,18,325,328,0,2,1,3,1,1
0,0,34,11,117,115,0,2,0,3,0,0
0,1,44,10,162,183,0,3,0,3,1,1
9,9,82,11,437,509,0,2,1,2,1,1
0,1,66,20,133,199,0,2,0,3,1,0
9,9,86,20,442,460,0,3,0,3,1,1
3,1,86,14,259,170,0,1,1,3,0,1
7,6,86,14,359,343,0,3,1,3,1,1
2,4,90,21,234,287,0,3,1,2,1,1
5,7,78,22,306,360,0,2,0,3,1,1
0,0,42,8,72,153,1,2,1,2,0,0
3,0,103,19,245,119,1,2,0,4,1,1
0,2,50,20,156,205,0,3,0,2,1,1
8,8,54,12,365,398,0,2,1,2,1,1
2,2,98,19,228,235,0,2,1,3,1,0
9,9,86,23,503,505,0,4,0,2,1,1
7,8,70,17,345,405,0,4,0,2,1,1
5,4,56,15,299,269,0,0,1,1,1,1
3,4,90,23,236,275,0,3,0,3,1,1
9,9,94,20,461,481,0,2,1,3,1,1
6,6,90,12,332,326,0,3,1,1,1,1
9,8,48,15,422,379,0,3,0,2,1,1
8,7,105,19,385,367,0,3,1,3,1,1
9,9,82,22,488,539,0,2,0,3,1,1
2,1,74,21,224,206,0,2,0,4,1,1
6,4,94,19,334,292,0,3,0,3,1,1
0,0,37,13,148,140,0,2,1,2,0,1
